Time	Channel1	Channel2	Channel3
5.906652456E+4	4.892275E-2	1.348829E-1	4.423935E-1
5.906662655E+4	4.405708E-2	1.345585E-1	4.141726E-1
5.906672411E+4	3.854266E-2	1.342342E-1	3.833566E-1
5.906682345E+4	3.335261E-2	1.345585E-1	3.512432E-1
5.906692449E+4	2.654067E-2	1.348829E-1	3.175078E-1
5.906702555E+4	1.972874E-2	1.345585E-1	2.831237E-1
5.906712357E+4	1.226804E-2	1.348829E-1	2.477665E-1
5.906722452E+4	6.104864E-3	1.348829E-1	2.104630E-1
5.906732448E+4	-2.004584E-3	1.348829E-1	1.731595E-1
5.906742353E+4	-9.140898E-3	1.345585E-1	1.352073E-1
5.906752358E+4	-1.692597E-2	1.345585E-1	9.628194E-2
5.906762435E+4	-2.503541E-2	1.342342E-1	5.670782E-2
5.906772555E+4	-3.509113E-2	1.348829E-1	1.713371E-2
5.906782653E+4	-4.352495E-2	1.345585E-1	-2.114288E-2
5.906792554E+4	-5.260753E-2	1.342342E-1	-6.071698E-2
5.906802552E+4	-6.071698E-2	1.342342E-1	-9.996670E-2
5.906812453E+4	-6.915080E-2	1.348829E-1	-1.388920E-1
5.906822449E+4	-7.790900E-2	1.345585E-1	-1.771686E-1
5.906832353E+4	-8.601845E-2	1.348829E-1	-2.147964E-1
5.906842453E+4	-9.445227E-2	1.348829E-1	-2.511267E-1
5.906852447E+4	-1.028861E-1	1.348829E-1	-2.868082E-1
5.906862430E+4	-1.109955E-1	1.345585E-1	-3.215166E-1
5.906872451E+4	-1.184562E-1	1.348829E-1	-3.546032E-1
5.906882450E+4	-1.255925E-1	1.342342E-1	-3.867165E-1
5.906892445E+4	-1.330532E-1	1.345585E-1	-4.168836E-1
5.906902543E+4	-1.401895E-1	1.348829E-1	-4.457532E-1
5.906912353E+4	-1.473258E-1	1.348829E-1	-4.723522E-1
5.906922452E+4	-1.538134E-1	1.348829E-1	-4.973292E-1
5.906932453E+4	-1.593278E-1	1.345585E-1	-5.206844E-1
5.906942524E+4	-1.648422E-1	1.345585E-1	-5.420933E-1
5.906952453E+4	-1.703567E-1	1.345585E-1	-5.612316E-1
5.906962346E+4	-1.752223E-1	1.345585E-1	-5.771261E-1
5.906972347E+4	-1.797636E-1	1.345585E-1	-5.917230E-1
5.906982443E+4	-1.836562E-1	1.342342E-1	-6.040494E-1
5.906992344E+4	-1.878731E-1	1.345585E-1	-6.134563E-1
5.907002445E+4	-1.901437E-1	1.342342E-1	-6.209170E-1
5.907012352E+4	-1.924144E-1	1.348829E-1	-6.254583E-1
5.907022450E+4	-1.946850E-1	1.342342E-1	-6.277289E-1
5.907032453E+4	-1.959825E-1	1.342342E-1	-6.277289E-1
5.907042453E+4	-1.969556E-1	1.342342E-1	-6.251339E-1
5.907052441E+4	-1.976044E-1	1.342342E-1	-6.202682E-1
5.907062442E+4	-1.976044E-1	1.345585E-1	-6.124832E-1
5.907072551E+4	-1.969556E-1	1.345585E-1	-6.030762E-1
5.907082459E+4	-1.953338E-1	1.342342E-1	-5.904255E-1
5.907092454E+4	-1.943606E-1	1.342342E-1	-5.761529E-1
5.907102453E+4	-1.917656E-1	1.345585E-1	-5.589609E-1
5.907112353E+4	-1.891706E-1	1.345585E-1	-5.401470E-1
5.907122450E+4	-1.859268E-1	1.345585E-1	-5.187381E-1
5.907132431E+4	-1.826830E-1	1.342342E-1	-4.957073E-1
5.907142354E+4	-1.781417E-1	1.342342E-1	-4.704059E-1
5.907152546E+4	-1.742492E-1	1.348829E-1	-4.431582E-1
5.907162448E+4	-1.687348E-1	1.345585E-1	-4.142886E-1
5.907172454E+4	-1.635447E-1	1.345585E-1	-3.834728E-1
5.907182447E+4	-1.577059E-1	1.345585E-1	-3.513594E-1
5.907192543E+4	-1.512184E-1	1.342342E-1	-3.182729E-1
5.907202547E+4	-1.450552E-1	1.342342E-1	-2.835645E-1
5.907212551E+4	-1.385677E-1	1.342342E-1	-2.478829E-1
5.907222452E+4	-1.311070E-1	1.342342E-1	-2.112283E-1
5.907232353E+4	-1.233219E-1	1.342342E-1	-1.736004E-1
5.907242494E+4	-1.161856E-1	1.348829E-1	-1.353239E-1
5.907252425E+4	-1.077518E-1	1.345585E-1	-9.639854E-2
5.907262404E+4	-9.964232E-2	1.348829E-1	-5.682444E-2
5.907272397E+4	-9.153287E-2	1.345585E-1	-1.757472E-2
5.907282648E+4	-8.309905E-2	1.345585E-1	2.102625E-2
5.907292420E+4	-7.466523E-2	1.345585E-1	6.027598E-2
5.907302427E+4	-6.688016E-2	1.345585E-1	1.004989E-1
5.907312541E+4	-5.877071E-2	1.345585E-1	1.387755E-1
5.907322410E+4	-5.001251E-2	1.345585E-1	1.767277E-1
5.907332455E+4	-4.092993E-2	1.348829E-1	2.146799E-1
5.907342456E+4	-3.087422E-2	1.348829E-1	2.510103E-1
5.907352348E+4	-2.244039E-2	1.348829E-1	2.870163E-1
5.907362449E+4	-1.400657E-2	1.345585E-1	3.214004E-1
5.907372446E+4	-6.870253E-3	1.345585E-1	3.541626E-1
5.907382346E+4	2.660612E-4	1.348829E-1	3.862760E-1
5.907392447E+4	7.726753E-3	1.345585E-1	4.164432E-1
5.907402451E+4	1.486307E-2	1.342342E-1	4.449885E-1
5.907412351E+4	2.167500E-2	1.348829E-1	4.719119E-1
5.907422459E+4	2.816256E-2	1.348829E-1	4.972134E-1
5.907432454E+4	3.400137E-2	1.342342E-1	5.202443E-1
5.907442453E+4	4.016455E-2	1.342342E-1	5.413289E-1
5.907452437E+4	4.535459E-2	1.342342E-1	5.601429E-1
5.907462441E+4	4.989589E-2	1.348829E-1	5.773349E-1
5.907472744E+4	5.443718E-2	1.345585E-1	5.916076E-1
5.907482553E+4	5.832971E-2	1.345585E-1	6.032852E-1
5.907492556E+4	6.222225E-2	1.348829E-1	6.126922E-1
5.907502452E+4	6.579041E-2	1.348829E-1	6.204773E-1
5.907512452E+4	6.838543E-2	1.345585E-1	6.250186E-1
5.907522355E+4	7.000732E-2	1.348829E-1	6.276136E-1
5.907532453E+4	7.227797E-2	1.348829E-1	6.279380E-1
5.907542451E+4	7.292672E-2	1.345585E-1	6.246942E-1
5.907552439E+4	7.357548E-2	1.348829E-1	6.195042E-1
5.907562361E+4	7.357548E-2	1.348829E-1	6.123678E-1
5.907572446E+4	7.292672E-2	1.348829E-1	6.023121E-1
5.907582453E+4	7.195359E-2	1.345585E-1	5.906345E-1
5.907592451E+4	7.033170E-2	1.345585E-1	5.753887E-1
5.907602450E+4	6.806105E-2	1.342342E-1	5.585210E-1
5.907612454E+4	6.546603E-2	1.352073E-1	5.393827E-1
5.907622452E+4	6.222225E-2	1.345585E-1	5.179737E-1
5.907632454E+4	5.832971E-2	1.345585E-1	4.949428E-1
5.907642354E+4	5.411280E-2	1.345585E-1	4.696413E-1
5.907652352E+4	4.989589E-2	1.348829E-1	4.423935E-1
5.907662460E+4	4.503022E-2	1.348829E-1	4.138482E-1
5.907672451E+4	3.951579E-2	1.342342E-1	3.830322E-1
5.907682454E+4	3.335261E-2	1.348829E-1	3.515675E-1
5.907692446E+4	2.751381E-2	1.352073E-1	3.178322E-1
5.907702453E+4	2.102625E-2	1.348829E-1	2.831237E-1
5.907712456E+4	1.388993E-2	1.348829E-1	2.477665E-1
5.907722452E+4	6.753619E-3	1.345585E-1	2.107874E-1
5.907732354E+4	-7.070725E-4	1.352073E-1	1.731595E-1
5.907742455E+4	-8.167764E-3	1.345585E-1	1.348829E-1
5.907752444E+4	-1.595283E-2	1.345585E-1	9.628194E-2
5.907762442E+4	-2.438666E-2	1.342342E-1	5.703220E-2
5.907772449E+4	-3.379362E-2	1.345585E-1	1.778247E-2
5.907782485E+4	-4.352495E-2	1.345585E-1	-2.146726E-2
5.907792450E+4	-5.195878E-2	1.348829E-1	-6.071698E-2
5.907802353E+4	-6.039260E-2	1.345585E-1	-1.002911E-1
5.907812352E+4	-6.882642E-2	1.345585E-1	-1.392164E-1
5.907822452E+4	-7.758463E-2	1.348829E-1	-1.774930E-1
5.907832352E+4	-8.569407E-2	1.352073E-1	-2.147964E-1
5.907842456E+4	-9.445227E-2	1.345585E-1	-2.514511E-1
5.907852641E+4	-1.022373E-1	1.348829E-1	-2.871326E-1
5.907862545E+4	-1.109955E-1	1.348829E-1	-3.237873E-1
5.907873148E+4	-1.174831E-1	1.348829E-1	-3.549275E-1
5.907882455E+4	-1.255925E-1	1.342342E-1	-3.863922E-1
5.907892452E+4	-1.330532E-1	1.348829E-1	-4.172080E-1
5.907902451E+4	-1.405139E-1	1.348829E-1	-4.457532E-1
5.907912353E+4	-1.476502E-1	1.348829E-1	-4.733253E-1
5.907922352E+4	-1.534890E-1	1.342342E-1	-4.979780E-1
5.907932453E+4	-1.596522E-1	1.348829E-1	-5.203600E-1
5.907942460E+4	-1.654910E-1	1.345585E-1	-5.420933E-1
5.907952546E+4	-1.713298E-1	1.345585E-1	-5.609072E-1
5.907962425E+4	-1.755467E-1	1.352073E-1	-5.771261E-1
5.907972414E+4	-1.800880E-1	1.345585E-1	-5.917230E-1
5.907982448E+4	-1.843049E-1	1.345585E-1	-6.037250E-1
5.907992454E+4	-1.878731E-1	1.342342E-1	-6.137807E-1
5.908002453E+4	-1.907925E-1	1.339098E-1	-6.209170E-1
5.908012355E+4	-1.920900E-1	1.345585E-1	-6.261070E-1
5.908022352E+4	-1.953338E-1	1.342342E-1	-6.287020E-1
5.908032356E+4	-1.966313E-1	1.345585E-1	-6.280533E-1
5.908042448E+4	-1.976044E-1	1.345585E-1	-6.254583E-1
5.908052540E+4	-1.982532E-1	1.345585E-1	-6.205926E-1
5.908062339E+4	-1.982532E-1	1.342342E-1	-6.131319E-1
5.908072451E+4	-1.976044E-1	1.342342E-1	-6.030762E-1
5.908082357E+4	-1.963069E-1	1.345585E-1	-5.901012E-1
5.908092451E+4	-1.946850E-1	1.348829E-1	-5.761529E-1
5.908102452E+4	-1.924144E-1	1.342342E-1	-5.589609E-1
5.908112355E+4	-1.894950E-1	1.345585E-1	-5.404714E-1
5.908122450E+4	-1.865756E-1	1.342342E-1	-5.187381E-1
5.908132463E+4	-1.830074E-1	1.345585E-1	-4.953830E-1
5.908142437E+4	-1.791149E-1	1.342342E-1	-4.704059E-1
5.908152549E+4	-1.752223E-1	1.342342E-1	-4.431582E-1
5.908162331E+4	-1.700323E-1	1.345585E-1	-4.142886E-1
5.908172350E+4	-1.648422E-1	1.342342E-1	-3.834728E-1
5.908182454E+4	-1.593278E-1	1.345585E-1	-3.513594E-1
5.908192454E+4	-1.528403E-1	1.348829E-1	-3.182729E-1
5.908202354E+4	-1.460283E-1	1.345585E-1	-2.838888E-1
5.908212452E+4	-1.395408E-1	1.345585E-1	-2.475586E-1
5.908222355E+4	-1.317557E-1	1.348829E-1	-2.109039E-1
5.908232458E+4	-1.246194E-1	1.348829E-1	-1.736004E-1
5.908242356E+4	-1.174831E-1	1.345585E-1	-1.353239E-1
5.908252549E+4	-1.096980E-1	1.348829E-1	-9.639854E-2
5.908262421E+4	-1.012642E-1	1.345585E-1	-5.714882E-2
5.908272456E+4	-9.283038E-2	1.345585E-1	-1.725035E-2
5.908282350E+4	-8.374780E-2	1.348829E-1	2.135063E-2
5.908292452E+4	-7.531398E-2	1.348829E-1	6.092474E-2
5.908302355E+4	-6.688016E-2	1.345585E-1	1.004989E-1
5.908312453E+4	-5.877071E-2	1.345585E-1	1.387755E-1
5.908322354E+4	-5.066127E-2	1.345585E-1	1.770521E-1
5.908332358E+4	-4.190306E-2	1.342342E-1	2.143556E-1
5.908342554E+4	-3.217173E-2	1.342342E-1	2.510103E-1
5.908352543E+4	-2.373790E-2	1.348829E-1	2.870163E-1
5.908362328E+4	-1.530408E-2	1.342342E-1	3.210760E-1
5.908372355E+4	-6.870253E-3	1.348829E-1	3.544870E-1
5.908382355E+4	2.660612E-4	1.352073E-1	3.862760E-1
5.908392454E+4	7.726753E-3	1.348829E-1	4.164432E-1
5.908402352E+4	1.421431E-2	1.348829E-1	4.449885E-1
5.908412450E+4	2.070187E-2	1.352073E-1	4.722363E-1
5.908422455E+4	2.718943E-2	1.348829E-1	4.972134E-1
5.908432453E+4	3.367699E-2	1.355317E-1	5.202443E-1
5.908442352E+4	3.951579E-2	1.345585E-1	5.413289E-1
5.908452446E+4	4.470584E-2	1.348829E-1	5.598185E-1
5.908462354E+4	5.054464E-2	1.348829E-1	5.766862E-1
5.908472453E+4	5.476155E-2	1.348829E-1	5.912832E-1
5.908482447E+4	5.930285E-2	1.348829E-1	6.032852E-1
5.908492450E+4	6.254663E-2	1.345585E-1	6.133410E-1
5.908502456E+4	6.481727E-2	1.345585E-1	6.201529E-1
5.908512352E+4	6.773667E-2	1.345585E-1	6.250186E-1
5.908522451E+4	7.000732E-2	1.348829E-1	6.276136E-1
5.908532453E+4	7.098045E-2	1.345585E-1	6.272893E-1
5.908542450E+4	7.260234E-2	1.352073E-1	6.246942E-1
5.908552450E+4	7.325110E-2	1.348829E-1	6.201529E-1
5.908562445E+4	7.357548E-2	1.345585E-1	6.120435E-1
5.908572454E+4	7.292672E-2	1.345585E-1	6.023121E-1
5.908582777E+4	7.195359E-2	1.345585E-1	5.903101E-1
5.908592314E+4	7.033170E-2	1.348829E-1	5.753887E-1
5.908602416E+4	6.773667E-2	1.348829E-1	5.585210E-1
5.908612310E+4	6.481727E-2	1.345585E-1	5.390583E-1
5.908622354E+4	6.189787E-2	1.348829E-1	5.179737E-1
5.908632453E+4	5.768096E-2	1.348829E-1	4.949428E-1
5.908642421E+4	5.378842E-2	1.352073E-1	4.696413E-1
5.908652429E+4	4.989589E-2	1.348829E-1	4.427179E-1
5.908662457E+4	4.470584E-2	1.348829E-1	4.135238E-1
5.908672552E+4	3.951579E-2	1.352073E-1	3.833566E-1
5.908682353E+4	3.335261E-2	1.348829E-1	3.512432E-1
5.908692454E+4	2.718943E-2	1.345585E-1	3.178322E-1
5.908702453E+4	2.037749E-2	1.348829E-1	2.834481E-1
5.908712458E+4	1.324118E-2	1.348829E-1	2.474421E-1
5.908722455E+4	6.104864E-3	1.348829E-1	2.104630E-1
5.908732452E+4	-7.070725E-4	1.345585E-1	1.734839E-1
5.908742451E+4	-8.167764E-3	1.345585E-1	1.352073E-1
5.908752359E+4	-1.627721E-2	1.345585E-1	9.628194E-2
5.908762454E+4	-2.438666E-2	1.345585E-1	5.703220E-2
5.908772454E+4	-3.346924E-2	1.348829E-1	1.745809E-2
5.908782455E+4	-4.352495E-2	1.348829E-1	-2.146726E-2
5.908792512E+4	-5.228316E-2	1.348829E-1	-6.039260E-2
5.908802411E+4	-6.071698E-2	1.345585E-1	-9.996670E-2
5.908812396E+4	-6.915080E-2	1.348829E-1	-1.388920E-1
5.908822400E+4	-7.790900E-2	1.352073E-1	-1.771686E-1
5.908832479E+4	-8.601845E-2	1.352073E-1	-2.147964E-1
5.908842311E+4	-9.412789E-2	1.345585E-1	-2.511267E-1
5.908852353E+4	-1.028861E-1	1.345585E-1	-2.871326E-1
5.908862322E+4	-1.109955E-1	1.345585E-1	-3.215166E-1
5.908872457E+4	-1.187806E-1	1.345585E-1	-3.546032E-1
5.908882429E+4	-1.265657E-1	1.342342E-1	-3.867165E-1
5.908892354E+4	-1.340264E-1	1.345585E-1	-4.168836E-1
5.908902445E+4	-1.408383E-1	1.345585E-1	-4.457532E-1
5.908912449E+4	-1.479746E-1	1.348829E-1	-4.723522E-1
5.908922336E+4	-1.541378E-1	1.348829E-1	-4.976536E-1
5.908932440E+4	-1.606253E-1	1.345585E-1	-5.210088E-1
5.908942472E+4	-1.664641E-1	1.345585E-1	-5.420933E-1
5.908952442E+4	-1.719786E-1	1.345585E-1	-5.612316E-1
5.908962455E+4	-1.771686E-1	1.345585E-1	-5.774504E-1
5.908972349E+4	-1.820343E-1	1.342342E-1	-5.920474E-1
5.908982448E+4	-1.856024E-1	1.345585E-1	-6.040494E-1
5.908992360E+4	-1.894950E-1	1.348829E-1	-6.137807E-1
5.909002354E+4	-1.927387E-1	1.348829E-1	-6.205926E-1
5.909012353E+4	-1.943606E-1	1.345585E-1	-6.257826E-1
5.909022454E+4	-1.963069E-1	1.345585E-1	-6.283777E-1
5.909032458E+4	-1.979288E-1	1.345585E-1	-6.280533E-1
5.909042460E+4	-1.992263E-1	1.342342E-1	-6.254583E-1
5.909052425E+4	-1.992263E-1	1.345585E-1	-6.205926E-1
5.909062454E+4	-1.992263E-1	1.342342E-1	-6.128076E-1
5.909072451E+4	-1.982532E-1	1.342342E-1	-6.027519E-1
5.909082451E+4	-1.966313E-1	1.345585E-1	-5.907499E-1
5.909092354E+4	-1.950094E-1	1.342342E-1	-5.758286E-1
5.909102456E+4	-1.930631E-1	1.345585E-1	-5.592853E-1
5.909112453E+4	-1.894950E-1	1.348829E-1	-5.401470E-1
5.909122353E+4	-1.868999E-1	1.345585E-1	-5.184138E-1
5.909132464E+4	-1.830074E-1	1.345585E-1	-4.953830E-1
5.909142468E+4	-1.791149E-1	1.342342E-1	-4.704059E-1
5.909152456E+4	-1.745736E-1	1.345585E-1	-4.428338E-1
5.909162454E+4	-1.697079E-1	1.345585E-1	-4.139642E-1
5.909172452E+4	-1.641935E-1	1.345585E-1	-3.841215E-1
5.909182452E+4	-1.583547E-1	1.345585E-1	-3.516838E-1
5.909192353E+4	-1.521915E-1	1.345585E-1	-3.182729E-1
5.909202453E+4	-1.450552E-1	1.345585E-1	-2.835645E-1
5.909212451E+4	-1.382433E-1	1.345585E-1	-2.475586E-1
5.909222451E+4	-1.317557E-1	1.342342E-1	-2.109039E-1
5.909232454E+4	-1.239707E-1	1.348829E-1	-1.736004E-1
5.909242454E+4	-1.165100E-1	1.345585E-1	-1.353239E-1
5.909252454E+4	-1.090493E-1	1.345585E-1	-9.639854E-2
5.909262357E+4	-1.002911E-1	1.348829E-1	-5.714882E-2
5.909272455E+4	-9.185725E-2	1.345585E-1	-1.757472E-2
5.909282451E+4	-8.342343E-2	1.348829E-1	2.167500E-2
5.909292352E+4	-7.531398E-2	1.345585E-1	6.060036E-2
5.909302354E+4	-6.688016E-2	1.348829E-1	1.004989E-1
5.909312455E+4	-5.812196E-2	1.348829E-1	1.387755E-1
5.909322455E+4	-5.066127E-2	1.345585E-1	1.767277E-1
5.909332453E+4	-4.125431E-2	1.352073E-1	2.146799E-1
5.909342451E+4	-3.119859E-2	1.345585E-1	2.510103E-1
5.909352554E+4	-2.276477E-2	1.348829E-1	2.863675E-1
5.909362455E+4	-1.433094E-2	1.348829E-1	3.210760E-1
5.909372450E+4	-6.221497E-3	1.345585E-1	3.544870E-1
5.909382453E+4	5.904391E-4	1.345585E-1	3.862760E-1
5.909392454E+4	8.051131E-3	1.345585E-1	4.164432E-1
5.909402451E+4	1.518745E-2	1.345585E-1	4.453129E-1
5.909412454E+4	2.232376E-2	1.348829E-1	4.722363E-1
5.909422454E+4	2.751381E-2	1.348829E-1	4.972134E-1
5.909432353E+4	3.432574E-2	1.345585E-1	5.199199E-1
5.909442456E+4	4.016455E-2	1.348829E-1	5.413289E-1
5.909452351E+4	4.567897E-2	1.348829E-1	5.598185E-1
5.909462454E+4	4.989589E-2	1.348829E-1	5.766862E-1
5.909472450E+4	5.476155E-2	1.345585E-1	5.912832E-1
5.909482553E+4	5.832971E-2	1.342342E-1	6.032852E-1
5.909492453E+4	6.189787E-2	1.348829E-1	6.130166E-1
5.909502456E+4	6.514165E-2	1.348829E-1	6.201529E-1
5.909512453E+4	6.741230E-2	1.348829E-1	6.253430E-1
5.909522356E+4	6.968294E-2	1.348829E-1	6.276136E-1
5.909532556E+4	7.162921E-2	1.348829E-1	6.276136E-1
5.909542557E+4	7.292672E-2	1.348829E-1	6.250186E-1
5.909552451E+4	7.357548E-2	1.348829E-1	6.195042E-1
5.909562353E+4	7.357548E-2	1.345585E-1	6.126922E-1
5.909572452E+4	7.260234E-2	1.348829E-1	6.023121E-1
5.909582454E+4	7.098045E-2	1.348829E-1	5.903101E-1
5.909592451E+4	6.968294E-2	1.348829E-1	5.750643E-1
5.909602356E+4	6.741230E-2	1.352073E-1	5.585210E-1
5.909612456E+4	6.416852E-2	1.352073E-1	5.390583E-1
5.909622593E+4	6.092474E-2	1.348829E-1	5.176493E-1
5.909632355E+4	5.768096E-2	1.348829E-1	4.949428E-1
5.909642455E+4	5.346404E-2	1.352073E-1	4.693169E-1
5.909652364E+4	4.892275E-2	1.348829E-1	4.427179E-1
5.909662455E+4	4.438146E-2	1.348829E-1	4.138482E-1
5.909672552E+4	3.854266E-2	1.352073E-1	3.833566E-1
5.909682452E+4	3.270385E-2	1.348829E-1	3.509188E-1
5.909692455E+4	2.621629E-2	1.345585E-1	3.175078E-1
5.909702355E+4	1.940436E-2	1.348829E-1	2.831237E-1
5.909712451E+4	1.226804E-2	1.345585E-1	2.474421E-1
5.909722452E+4	5.456108E-3	1.348829E-1	2.104630E-1
5.909732455E+4	-2.328962E-3	1.348829E-1	1.731595E-1
5.909742355E+4	-9.789654E-3	1.352073E-1	1.348829E-1
5.909752455E+4	-1.822348E-2	1.348829E-1	9.595756E-2
5.909762457E+4	-2.665730E-2	1.348829E-1	5.703220E-2
5.909772452E+4	-3.606426E-2	1.348829E-1	1.778247E-2
5.909782455E+4	-4.514684E-2	1.348829E-1	-2.146726E-2
5.909792453E+4	-5.325629E-2	1.348829E-1	-6.136573E-2
5.909802553E+4	-6.136573E-2	1.348829E-1	-9.996670E-2
5.909812554E+4	-6.947518E-2	1.345585E-1	-1.392164E-1
5.909822551E+4	-7.823338E-2	1.348829E-1	-1.771686E-1
5.909832454E+4	-8.634283E-2	1.345585E-1	-2.147964E-1
5.909842551E+4	-9.477665E-2	1.345585E-1	-2.514511E-1
5.909852455E+4	-1.025617E-1	1.348829E-1	-2.871326E-1
5.909862551E+4	-1.106712E-1	1.345585E-1	-3.218410E-1
5.909872553E+4	-1.181319E-1	1.345585E-1	-3.546032E-1
5.909882455E+4	-1.259169E-1	1.348829E-1	-3.863922E-1
5.909892358E+4	-1.330532E-1	1.348829E-1	-4.168836E-1
5.909902450E+4	-1.405139E-1	1.345585E-1	-4.460776E-1
5.909912453E+4	-1.473258E-1	1.345585E-1	-4.730009E-1
5.909922354E+4	-1.541378E-1	1.345585E-1	-4.976536E-1
5.909932453E+4	-1.596522E-1	1.348829E-1	-5.206844E-1
5.909942555E+4	-1.661398E-1	1.342342E-1	-5.417689E-1
5.909952451E+4	-1.716542E-1	1.342342E-1	-5.605828E-1
5.909962352E+4	-1.761955E-1	1.345585E-1	-5.771261E-1
5.909972454E+4	-1.810611E-1	1.345585E-1	-5.923718E-1
5.909982553E+4	-1.852780E-1	1.339098E-1	-6.040494E-1
5.909992450E+4	-1.888462E-1	1.348829E-1	-6.137807E-1
5.910002457E+4	-1.914412E-1	1.345585E-1	-6.209170E-1
5.910012354E+4	-1.940362E-1	1.342342E-1	-6.254583E-1
5.910022454E+4	-1.959825E-1	1.345585E-1	-6.277289E-1
5.910032349E+4	-1.972800E-1	1.345585E-1	-6.277289E-1
5.910042454E+4	-1.979288E-1	1.345585E-1	-6.254583E-1
5.910052566E+4	-1.985775E-1	1.348829E-1	-6.205926E-1
5.910062460E+4	-1.982532E-1	1.345585E-1	-6.128076E-1
5.910072451E+4	-1.979288E-1	1.345585E-1	-6.030762E-1
5.910082453E+4	-1.969556E-1	1.348829E-1	-5.904255E-1
5.910092456E+4	-1.950094E-1	1.342342E-1	-5.761529E-1
5.910102455E+4	-1.933875E-1	1.345585E-1	-5.589609E-1
5.910112455E+4	-1.901437E-1	1.345585E-1	-5.398227E-1
5.910122557E+4	-1.868999E-1	1.342342E-1	-5.184138E-1
5.910132557E+4	-1.833318E-1	1.345585E-1	-4.953830E-1
5.910142355E+4	-1.794392E-1	1.345585E-1	-4.704059E-1
5.910152524E+4	-1.745736E-1	1.345585E-1	-4.431582E-1
5.910162451E+4	-1.697079E-1	1.348829E-1	-4.139642E-1
5.910172450E+4	-1.638691E-1	1.345585E-1	-3.834728E-1
5.910182350E+4	-1.580303E-1	1.348829E-1	-3.516838E-1
5.910192454E+4	-1.515428E-1	1.345585E-1	-3.179485E-1
5.910202453E+4	-1.450552E-1	1.345585E-1	-2.832401E-1
5.910212555E+4	-1.382433E-1	1.342342E-1	-2.475586E-1
5.910222451E+4	-1.307826E-1	1.345585E-1	-2.109039E-1
5.910232451E+4	-1.239707E-1	1.348829E-1	-1.736004E-1
5.910242450E+4	-1.165100E-1	1.342342E-1	-1.349995E-1
5.910252556E+4	-1.084005E-1	1.345585E-1	-9.607416E-2
5.910262357E+4	-9.964232E-2	1.348829E-1	-5.455380E-2
5.910273062E+4	-9.185725E-2	1.345585E-1	-1.789910E-2
5.910282350E+4	-8.342343E-2	1.342342E-1	2.167500E-2
5.910292452E+4	-7.498960E-2	1.345585E-1	6.092474E-2
5.910302454E+4	-6.720454E-2	1.348829E-1	1.001745E-1
5.910312454E+4	-5.844633E-2	1.345585E-1	1.390998E-1
5.910322455E+4	-5.033689E-2	1.345585E-1	1.773765E-1
5.910332451E+4	-4.125431E-2	1.348829E-1	2.140312E-1
5.910342320E+4	-3.119859E-2	1.352073E-1	2.510103E-1
5.910352416E+4	-2.276477E-2	1.348829E-1	2.863675E-1
5.910362413E+4	-1.465532E-2	1.345585E-1	3.210760E-1
5.910372447E+4	-6.870253E-3	1.345585E-1	3.548113E-1
5.910382457E+4	2.660612E-4	1.345585E-1	3.859517E-1
5.910392453E+4	7.726753E-3	1.348829E-1	4.167676E-1
5.910402456E+4	1.486307E-2	1.348829E-1	4.449885E-1
5.910412557E+4	2.199938E-2	1.348829E-1	4.722363E-1
5.910422355E+4	2.848694E-2	1.348829E-1	4.972134E-1
5.910432325E+4	3.432574E-2	1.348829E-1	5.199199E-1
5.910442322E+4	4.016455E-2	1.348829E-1	5.410045E-1
5.910452478E+4	4.567897E-2	1.345585E-1	5.598185E-1
5.910462408E+4	4.989589E-2	1.348829E-1	5.770106E-1
5.910472314E+4	5.443718E-2	1.348829E-1	5.916076E-1
5.910482451E+4	5.897847E-2	1.352073E-1	6.036096E-1
5.910492547E+4	6.254663E-2	1.345585E-1	6.130166E-1
5.910502348E+4	6.546603E-2	1.352073E-1	6.201529E-1
5.910512353E+4	6.806105E-2	1.348829E-1	6.253430E-1
5.910522351E+4	6.968294E-2	1.345585E-1	6.272893E-1
5.910532456E+4	7.162921E-2	1.348829E-1	6.276136E-1
5.910542455E+4	7.325110E-2	1.348829E-1	6.246942E-1
5.910552468E+4	7.357548E-2	1.348829E-1	6.198285E-1
5.910562454E+4	7.325110E-2	1.348829E-1	6.120435E-1
5.910572454E+4	7.292672E-2	1.348829E-1	6.019877E-1
5.910582457E+4	7.130483E-2	1.352073E-1	5.899857E-1
5.910592453E+4	6.968294E-2	1.348829E-1	5.747399E-1
5.910602452E+4	6.741230E-2	1.352073E-1	5.585210E-1
5.910612452E+4	6.481727E-2	1.352073E-1	5.390583E-1
5.910622552E+4	6.157349E-2	1.348829E-1	5.176493E-1
5.910632456E+4	5.735658E-2	1.348829E-1	4.942940E-1
5.910642428E+4	5.346404E-2	1.348829E-1	4.693169E-1
5.910652454E+4	4.924713E-2	1.345585E-1	4.427179E-1
5.910662455E+4	4.438146E-2	1.352073E-1	4.135238E-1
5.910672459E+4	3.854266E-2	1.352073E-1	3.830322E-1
5.910682454E+4	3.270385E-2	1.345585E-1	3.509188E-1
5.910692455E+4	2.654067E-2	1.345585E-1	3.181566E-1
5.910702354E+4	2.005311E-2	1.348829E-1	2.834481E-1
5.910712455E+4	1.291680E-2	1.348829E-1	2.471178E-1
5.910722552E+4	6.104864E-3	1.348829E-1	2.107874E-1
5.910732456E+4	-1.031450E-3	1.348829E-1	1.731595E-1
